overall,verified,reviewTime,reviewerID,asin,style,reviewerName,reviewText,summary,unixReviewTime,vote,image,helpful
5.0,True,2012-01-24,AOTJSFCTHKF20,B0060AHUB6,"{'Color:': ' Iridescent Gray', 'Package Type:': ' Standard Packaging'}",Hunt N. Peck,"This is a quality product.  I have the Verizon Nexus with standard battery.  The Feather case is easy to put on and take off, an important consideration for anyone planning on using the Samsung OEM car dock and/or OEM desktop dock that utilize the charging pins on the right side of the phone.  The case is grippy as well and fits the phone perfectly.  It has wide open cutouts that allow direct access to the phone's volume and on/off buttons without interference.  The case wraps around the back and sides and edges of the phone but leaves the top and bottom edge exposed. While it doesn't cover the entire phone like the Incipio NGP, the trade off is that it is extremely light and adds very little to the phone's girth.

I've seen other reviews in which people complain that the Feather doesn't provide sufficient protection.  I guess these folks didn't bother to read the advertising first, or didn't pick up on the fact that the very name (""Feather"") implies light protection. This case is for people looking to enhance grip and protect the phone from scratches.  If you're a brick mason, a heavy machine operator or are just rough on your phones, get something else, like the Incipio Silicrylic.  I have also read elsewhere that some people felt the need to modify their cutouts, but this must have been for an earlier version of the Feather case than the one I have.  It needs no modification as the cutouts are well designed and large.

Another nice thing is that the Incipio Feather case comes with a high quality dry screen protector.

If you are looking for a very lightweight and thin cover that protects the Verizon version of the phone (with std. battery) from light scratches and bumps, this is a great choice.",Great case!,1327363200,2.0,,
1.0,True,2011-12-01,A1SQNCGMLCH9R8,B002JTWRN8,{'Offer Type:': ' MCUP'},Gill Baltazar,This is crap. very cheaply made. the goose neck pops out of its holder the the first time I used it. The holder is not adjustble to the phone. You slide in different bracks to hold your phone. The phone than slides in. DO NOT BUY THIS. Waste of money. Over priced crap,Don't buy,1322697600,2.0,,
4.0,True,2012-02-10,A2D0CO1OA6DSWY,B002DJEQ6K,"{'Size:': ' .!Only Bluetooth 2.0', 'Color:': ' Neutral'}",Gil S,"This is the 4th BT headset that i've owned. It is the best one so far but still not perfect.
Things I like about it:
* good sound quality. I've used it when driving and could hear very well. There were no complaints on the other side too so I assume they could hear me well.
* comfortable. I use it with the ear piece and it fits well. You can keep it on while driving and it doesn't bother (almost...). I don't know if it's my ears that are different from all the rest of the world but the 'in ear' innovative ways to mount headsets just never work for me... I must have an ear piece that goes around the ear.
* affordable. I got this for the incredibly low price of around $15. I am not comfortable with spending $100 or even $50 for a BT headset no matter how nice its features are. The only thing I would pay more for is for excellent sound quality that can handle background noises and winds. I still haven't heard of a headset that does this perfectly so until there is one, I'll just look for ones that don't cost too much.
* easy pairing
* can be charged via USB so no need for a power socket (but can still be charged using a socket)
* dedicated power button
* battery and connection indicators

things that I think need to improve
* power button is very awkward placed.
* power/battery/connection indicators only light when the power button is pressed
* this is the most annoying thing: you need to press the power button for a few seconds to turn on/off. A sliding power switch with an on/off position would be best: it will be easy to use and will immediately indicate if the device is on or off. I think Jabra are using this for newer models

It's worth noting that integration with iPhone is different from my old headset. for example, i don't know how to direct music to the headset (but maybe you're not supposed to do this. I mean why would you listen to music on a one ear headset...). However, with this headset the phone still rings and most sounds are not directed to the headset until you actually start or answer a call, which i find very useful. with my old BT, all sounds were re-directed to the BT so you couldn't hear 'click' sounds when dialing or even message tones etc.","Affordable, comfortable with good sound quality, but has some design flaws",1328832000,2.0,,
4.0,True,2011-09-26,A1KZ4GJUXAY9OD,B004IYVEBI,{'Color:': ' One'},K.T.,"The case works, fits well, and arrived within the estimated delivery date.  The only thing I modified was the bump that covers the volume button on the phone.  It made my volume button very sensitive, so I cut it out.  Other than that, no complaints.  I have dropped my phone a few times in parking lots since having the case and my phone is fine as well as the case.

The screen protectors work well too.  I have one little air bubble, but that's it.  Took a couple tries to get it positioned right, but other than that, I'm happy with it.",satisfied,1316995200,2.0,,
5.0,True,2010-12-11,APBB297H3ZA5E,B003JTHN4K,,Harry M. Shin,"1.  This product is so good, that this is my second purchase.
2.  Here's the bottomline:
  a.  The price:  it's actually not that expensive, when you compare it to the typical plastic / rudimentary stand, which are basically throw away items.
  b.  Construction: top notch.  It's made out of some metal compound, the base is nice and solid / heavy, the rotating mechanism is solid... the entire unit is very well made.
  c.  Versatility:  top notch.  Because the method by which it holds the unit (ex: ipod or phone), it isn't hampered into fitting only one specific device.  Furthermore, the unit will rotate in all directions and it'll also move up and down.  Furthermore, because it holds the device via the sticky method, there are no issues in re: connecting headphone jacks, ac power cords etc... Again, complete versatility.
  d.  Question:  does this thing actually work?  Absolutely.  This was the most important question I had.  I've used various ""sticky"" type devices and found none of them that compelling.  This unit is really really really sticky, yet leaves zero residue.  Furthermore, what I can tell, this unit will continue to be sticky for a long time (basically:  after use, I just put the original plastic cover thing on top so that dust won't accumulate on the device.  You can periodically clean the item with a H20 /  cloth) and supposedly that will keep the unit functioning over time (I haven't had this product for a long time and thus can't comment on this issue... However, based on how sticky it is, I'm fairly confident that it will work over time).
3.  All in all, a very well made product, that provides the highest level of flexibility.  Highly recommended.
4.  FYI:  One reviewer made a very good point;  be sure to read the fine points--> specifically, IF you use a case for your ipod / phone, this may or may not work.  I don't use a case with my ipod touch and have zero problems with getting a super solid attachment.",This actually works;  excellent product (the best out there),1292025600,13.0,,
5.0,True,2012-05-29,A3SLEXYE6IUXWM,B004YM6FFY,"{'Size:': ' iPhone 4s/4', 'Color:': ' Purple', 'Package Type:': ' Standard Packaging'}",Sarah,"I pulled a Goldilocks, finding something lacking in five different cases, before finding the Ballistic Soft Gel just right!  The Otterbox Commuter was a contender, but for me, the Otterbox was too slippery too hold securely or trust to stay put on smooth surfaces.  I was also concerned about the number of poor user reviews on Otterbox's own website!  I haven't dropped my iPhone, thank heavens, but this case offers a great combination of protection with minimal added bulk.  It's comfortable to hold and slide into a pocket or purse, and all the covered buttons (volume and power) work perfectly.  I also prefer NOT having a cover over the connector port (as on the Otterbox), because it's a hassle to deal with every time I dock the phone at home or in the car.  There's plenty of room to attach connector cables, though it won't connect to a dock (without a dock extender) due to the padded corners.  Not a problem for me, but it would be for other people.  It's nice looking, too!",Great iPhone 4 Case,1338249600,3.0,,
4.0,True,2012-03-19,A2YYHSORXIHZCS,B0076Z3FUY,,E,"Obviously it hold the Galaxy Note stable and vertical, so I'll just write what a lot of people would like to know.

It's only a stand.
It's only a charger.
It does not pass HDMI signal.
It does not pass data signal.
It does allow sync with Kies Air (wireless only).
When phone is docked it defaults to clock mode. To get to 'desktop' hit the back key several times.
When phone is docked it defaults to audio out through dock. To change settings, go to 'desktop', then to 'settings', then to 'dock' profile, and uncheck box.

It comes in two piece that can snap together and unsnap at will but once snapped together will not come apart too easily.
It has 3.5mm jack. The setting to use or turn off the audio out is in the phone settings under 'Dock'.
It is very thin and light weight but definitely strong enough to hold the Galaxy Note upright with no wabble. Very stable base on table or on bed mattress.

That's about it. You get a two-piece brand-named dock and one-piece power adapter. Good deal for the price being charged.",Holds Galaxy Note very stable,1332115200,78.0,,
1.0,True,2011-10-26,A3JMIVOTZ6YQOL,B001GD87QO,,dwdw3,"Noise cancelling does not work. It actually amplifies everything in the background and is very annoying to anyone on the other end of the call. Tried several times in different environments. HORRIBLE PRODUCT. Returned immediately for a refund.

Jabra has apparently went downhill since creating the BT8040 that I had and regrettably lost. Come to think of it, had to have the BT8040 replaced under warranty once through AT&T where I bought it after 1 month. Won't consider Jabra again.

Thank you Amazon for your excellent return service!

Bought the Motorola HX550 as a replacement and am very impressed with the noise cancelling and ease of use.",STAY AWAY FROM THIS ONE!!!,1319587200,2.0,,
5.0,True,2012-10-27,AQAG3BCPYQG6U,B009AXPDGE,{'Color:': ' Black'},frankie,It does what it says it doesnt slip or slide! I woild order again if i actually had an iphone 5 a customer of mine wantes it so i ordered it for him!,awesome,1351296000,2.0,,
5.0,True,2012-08-31,A178MIJ4N81K3F,B008W4ECB4,,Phat Daddy,This case provides protection while still insuring the slim profile of the phone. The back provides grip so it will not slip to the floor and has a groovy 3D like quality to it. Does not obstruct any of the ports or cameras on the phone and goes on easy. Satisfied with this case!,Keeping New Phone Safe,1346371200,2.0,,
1.0,True,2011-05-25,A39EN5XP8LDVX8,B003KKC3ZW,,Mike M,"Just don't buy it.

It's cheaply made, the pivot really doesn't pivot so I adjusted the arm a little bit and the suction cup came off the window.  No big deal.  I went to adjust, and the mechanism that locks the suction cup in place broke off on only the second time I attached it to my window along with injuring my finger for about a day, even I said, I usually don't feel pain from little scuffs like this, so adding insult to injury, literally, this thing broke and will in effect no longer stay suctioned to the window, waste of time and money waiting for it to come.

Now I have to buy the better made more expensive ones anyway because its dead weight.","DO NOT BUY, LOW PRICE = LOW QUALITY",1306281600,8.0,,
3.0,True,2012-06-16,A1T975WM9OJLQW,B007PSPQ7W,,J. Streit,"This product is well built and it holds either a cell phone or gps unit securely.  The problem that I have with it is that  there is no way  of adjusting the angle of the screen so that it faces me and avoids glare, except by moving it around and searching for just the best position on the dash board, which does not work well and is a distraction from driving.",could be better,1339804800,3.0,,
5.0,True,2010-12-10,A3F5I3P6PEWUBN,B000M4KIME,,md,"I admit it, I almost paid $30+ for a Wii HD cable, I figured there's NO way the $5 version will do the job as well...

Then I remembered hearing multiple times from multiple sources ""NEVER pay more for cables, it's *always* a rip off.  The $30 cables and the $5 cables are the same thing, just the $30 ones have a name brand.""

Truth.

Works perfectly and saved me $25.  Thanks!",Why pay more?  Works perfectly.,1291939200,2.0,,
4.0,True,2011-11-26,A1PA8GE9VO0VOC,B005WCRYZ0,,Mr. Ralph,"I was hesitant buying this because it's so cheap, especially compared to the ""fancier"" D30 and similar products.

This thing is awesome. Fits perfectly. Doesn't fall off easily. Protects the screen by lifting it up around the edges. Looks nice. Good grippiness.

Regarding the button cutouts on this phone (which really aide in making buttons easier to press). The power button cutout is great. But it surprises me that there is no cutout for the volume rocker!? It's pretty annoying to raise and lower the volume, I have to really look at the case to see where the indentation is at, and often have to press really hard to make sure I'm actually pressing the right spot. I could see myself cutting a hole in this area down the line, but I'm not sure if that would impact the overall fit of the case. Oh well--it's the one downside to this case, but I still really like it. Oh, and someone mentioned the case makes the rocker feel touch sensitive.. Not really. If you're lucky and your finger lands on the right spot, then -maybe-.

My phone was knocked over once from desk height, I didn't see how it landed, but it doesn't have a scratch or scuff on it!

When I plug my earphones into the phone, they don't go in the jack all the way. I soon realized that this wasn't the cases fault, however, and when I removed the case and tried again, same problem! COME ON HTC!",Great forever case.,1322265600,2.0,,
4.0,True,2011-09-19,A2Q729R0SITU08,B0037011NU,,iPhoner,"Bought the case for my wife -- she'd tried two other cases that either didn't look all that great or were too soft. This was perfect, in style, cost and fit.",Great looking,1316390400,2.0,,
3.0,True,2011-06-07,A1B3K46SDHIK1E,B003ZGBQUE,,J.O,"The clip can't be used with any iPhone4's that have any form of a screen cover on it.. ie: I also with this clip bought a mirror screen cover and when I tried the clip with the screen cover on it just kept peeling the cover off because it clip is so ""form fitting"" to the iPhone that its not meant to be used with any other physical after market accessories or add-on's to the iPhone.

-Really wish I knew this before hand, I wouldn't have purchased this clip.",Slight Improvements Needed!!!,1307404800,2.0,,
4.0,True,2011-10-30,A13XPKQMAQWMF7,B004BWKIRI,{'Color:': ' Black'},DYGIT,"Wanted to try a wallet case for my iPhone 4S - actually I was nicely surprised at the good quality of the case and how small it is. I looked at the BookBook but thought it looked a little silly with the binding & name on the side & price was high. I am able to hold 4 credit cards, a drivers license and maybe 6-7 bills folded up and a few thin health insurance cards.

Very happy with the purchase - it is nice to ditch the real wallet! Only comments would be that they could have made the wallet a little bit wider so when you close the case, it does not pinch the folded bills. Also you definitely don't want to misplace your phone/wallet or you'll be in real trouble...",Great wallet/iPhone case,1319932800,29.0,,
5.0,True,2011-12-18,A2K4JUK3H95GIM,B005V156CU,,Greg,This case is slim and sleek.  Fits well and is easier to take off then get on.  Only issue is to watch the rubber covers for the buttons since the hard plastic shell is molded for a close fit.  Very durable and is quite easy to clean.  I recommend this case over the Defender series if you don't want the extra bulk but still desire maximum protection.,Great Case!,1324166400,4.0,,
3.0,True,2012-09-28,A1VQMS069GIU1Z,B00831QIF4,,Torrence,"This case is very protective, you won't have to worry about your phone breaking. I drop mine occasionally and it's not broken yet. However, if you are purchasing it for aesthetic pleasure, look somewhere else. I received my case just a few weeks ago, and already the paint has almost chipped entirely off the sides and there are scratches all along the back. I'm not hard on my phone, so I caution anyone against buying this if you're getting it for the painting.","Protective, but Disappointing",1348790400,9.0,,
5.0,True,2012-07-31,AVZF4LV5V673T,B0061JP41Y,,ForexTech,"The screen is very nice. Sharp and clear and doesn't take finger smudges. Upgradeable to Android 4.0! I did the upgrade and it was great. The home screen has so many nice options, you can add weather, calendar, control for your wireless and control for your sound/vibrate. Built in radio is good. The CPU is fast, browser surfing is quick. there are just so many customization options, beats Iphone hands down. I went from iphone to Samsung Android (Infuse) to Sony Android. Xperia beats the Samsung to me, much more options than in the Samsung. Although this is wrt the Infuse, can't speak for the Galaxy III.",Sony did a good job here.,1343692800,2.0,,
1.0,True,2011-11-08,A2Y1WNETD9AYHO,B005SUHPGE,"{'Size:': ' Small', 'Color:': ' Black', 'Package Type:': ' Standard Packaging'}",John H.,"This is a very LOUSY case ! it is WAY to loose around the sides....! The rubber on the sides should have been way stiffer... your thumb will move the rubber so easily that you will not feel good about this case. Buy the otterbox commuter instead , it has rubber on the inside and a hard shell on the outside.... this case was a total waste of money even at $10.",horrible !,1320710400,5.0,,
5.0,True,2012-08-14,A10N3DDOC3GHW6,B007YZCJ9E,,Jennifer B. Rocker,"This case was just perfect for my daughter! She was having to take other covers off to use her USB port. She doesn't have to remove this one. Best of all, she really likes it and will use it!!!",Snap-on Case,1344902400,2.0,,
1.0,True,2012-11-05,AB3V44ZZWZBU3,B009JYR18M,{'Color:': ' Hard Shell Clear'},Tony,"If you want to protect your phone, or at least have it covered, it fails.

Its very thin so its not that rigid. In fact, its so loose, that there tends to be like air bubbles on the back of it. Hard to explain but because it does not make full contact with all surface parts (partly due to its thinness and loose fitting), it creates these little pockets that make that gorgeous phone look like it has pen marks. The reason why I got this was that it was clear and it was simple. I didint like the big bulky stuff that was out there but this is a bit too ""cheap"" and ineffective.","Very Thin, Very loose",1352073600,4.0,,
1.0,True,2012-11-18,A3GCFYL07SI222,B00974L60S,,dlb,"I don't like this at all. I knew it was bigger than the case that I had, but it's huge, heavy, and the clear screen cover collects lint like nothing I've ever seen, along with it making the touch screen less receptive, well that's enough for me to send it back. Very disappointed.",Screen cover interferes with touch and gets LINTY,1353196800,2.0,,
5.0,True,2011-04-17,A3DAQS0BIGKF09,B003ZX7RNC,{'Color:': ' Silver'},TRP on OBX,"I've been trading off between Symbian and iOS for the past few years and thought I was through with Nokia after the n97 mini with its resistive screen and sluggish interface. But I was tempted by the N8's camera and have been pleased by the UI improvements of Symbian ^3.  My N8 has been fast and rock solid.  No shut downs, no bugs, no freezes.  The camera is as fantastic as advertised, and the antenna pulls in a usable signal where my iphone flatlines. I'm now looking forward to the firmware refresh due in a couple of months.  Samples I've seen look pretty slick.  Symbian appears to have some life in it yet.  Nice work, Nokia.  You might reconsider that whole Windows Phone 7 thing.",Pleasantly surprised,1302998400,2.0,,
2.0,True,2010-11-02,A3RGMAOZKMXLWN,B0006TIA8Y,"{'Model:': ' 7-Port', 'Package Type:': ' Standard Packaging'}",Ursula,"I shopped around for a few weeks before buying this USB hub. I chose it because of how many devices it supported and how little desk space it would take up.

Unfortunately I may have gotten a bad device, because shortly after I started using it, I discovered that a few of the connections didn't work properly. This made it a 3-port hub instead of 7. The connections that *did* work gave me no trouble at all, and because of this (and my laziness), I decided not to return the device.

It stood up straight fairly well, however, but the stand it comes with doesn't attach via latch or anything semi-permanent, so it can too easily be knocked off or lost.

I found the bright blue light a bit distracting as well.",Meh.,1288656000,2.0,,
5.0,True,2012-12-09,AEJ43K7R8TGRQ,B005SXDGKK,"{'Size:': ' One Size', 'Color:': ' red', 'Package Type:': ' Standard Packaging'}",Gina Gilbert,My nephew is gamer so this case fit his personality he keep asking when it was arrival and to his surprise he received  2 days early,Love it,1355011200,4.0,,
5.0,True,2010-12-21,A3EVQC1H6XTKWS,B004E49TEG,,Alex,"I got prompt shipment.  There are 5 protectors, 3 step instructions, and a cloth included.  The application process was very easy, compared to another protector I applied a few weeks ago that required soap water, that was kinda scary, and not easy.

Now, with these protectors, you just peel off one side, apply to the phone, and then peel off the remaining side and you're left with just the protector attached to the phone screen.  The cut out is very precise, and fit the mt4g very well.  There will be a millimeter gap to the edge of the screen, but that's a good thing, since if you get too close to any edge the protector doesn't want to stick very well (there's probably a curve there or something).I was most impressed with the bubble free installation.  There were practically no bubbles, and I didn't really have to do anything special.  I also had to reapply it because I didn't aim precisely the first time, and peeling off and reapplying was very easy.  Just stick the plastic tab you peeled off under the protector and lift it up.

I don't know how long the protector will last, but so far I am very pleased.  Good price, too.

UPDATE 2/9/2011
---------------
I have 2 phones using them, and they're still as good as new.  I purchased from Benson Huang, in case that makes a difference.  I noticed bad reviews from a few people, and I'm wondering if them bought from a different seller.",Very pleased so far,1292889600,11.0,,
4.0,True,2010-08-17,A1MSO6LERG39PC,B002TZFEKU,{'Package Type:': ' Standard Packaging'},cajunjake,"For the price paid, the T325 Bluetooth Speakerphone is very good - I have been using this for cose to 3 months.
PRO's:
- Easy to setup and pair;
- T325 downloads my contact list from my Blackberry and will verbally announce who is calling for all incoming calls (if the caller is NOT in my contact list, the T325 will verbally announce the phone number - a very convenient feature! Makes this item even more ""hands free""
- good speaker volume
- people I call say they cannot tell that I am on a portable bluetooth ""hands free"" system.

Minor Con's:
- T325 only comes with a car charger - one must buy the home AC charger cord separately (I ""upgraded"" from an older Motorola T305 which uses a standard USB Connector (which happened to be the same connector as my Blackberry) and of course that USB connector is incompatible with the T325 (T325 uses a MICRO USB connector) - I think its about time someone requires all cell phone devices to use one standard connector!!
- Periodically (once or twice a month), the T325 will inexpicably begin ""beeping"" for a second or two- on one occassion this lasted for close to 5 seconds (I'm assuming that interference from a nearby bluetooth device is causing this to occur);
- In the past 3 months of use, on 3 separate occassions, the T325 did NOT automatically ""pair"" with my phone as I entered my vehicle - No big deal, I just had to manually turn it on;
- Every time I get in the vehicle (even when I DON'T have my cell phone) like to clean out my car or when I'm working on it, the T325 will automatically Turn On - so I am assuming the T325 is triggered ON by a motion/close proximity sensor rather than sensing that the paired cell phone's bluetooth system is within 30 feet.

All in all, I am very satisfied with the T325, AND WOULD DEFINITLY purchase another one.","Very Good ""Bang for the Buck"" Hands Free Speakerphone",1282003200,12.0,,
